n_neurons,n_cores,conn_prob,firing_rate,T_overhead,T_overhead_sem,overhead_pct,overhead_pct_sem,T_static,T_static_sem,T_stdp,T_stdp_sem,n_spikes_static,n_spikes_stdp,n_connections,spike_divergence,spike_divergence_sem
100,2,0.05,10.0,0.008031468668680875,0.0054985213545060575,1.5542072484430336,0.016528719695231692,0.5167566086650671,0.005402024859952845,0.524788077333748,0.0010256044551436854,69423.66666666667,69253.33333333333,514.3333333333334,-0.2453535569375317,0.008972078029403596
100,2,0.05,20.0,0.007933998000225984,0.007345804607733966,1.5101770426864791,0.0209924480454751,0.5253687333315611,0.005719581183896192,0.5333027313317871,0.004609472466109999,71354.66666666667,71101.0,498.0,-0.35545905945084333,0.05336418552982377
100,2,0.05,40.0,0.01245985266480909,0.0024216311963606474,2.4011184473818568,0.01114307489982878,0.5189187013408324,0.002112722995137137,0.5313785540056415,0.0011835113844006172,75051.0,74752.0,517.0,-0.39837787415376646,0.04198268164388461
100,2,0.1,10.0,0.01804359332891181,0.004853984738691035,3.468852922574708,0.03196916709421757,0.52016022966806,0.0038416163300850374,0.5382038229969718,0.0029670105857359944,69822.0,69424.66666666667,992.6666666666666,-0.5690636660847616,0.0181576715403819
100,2,0.1,20.0,-0.002204432991372074,0.01229940911760594,-0.4083344581153258,0.009303159094390084,0.5398596536639767,0.012261293259362496,0.5376552206726046,0.0009675496112137753,71681.0,71277.0,1018.0,-0.5636029155311112,0.03564681321001644
100,2,0.1,40.0,0.0192227883332331,0.0035905308782189036,3.645079182334291,0.02467523382812447,0.5273627093314038,0.00328033542557003,0.5465854976646369,0.0014599011895308882,75440.33333333333,74898.0,990.3333333333334,-0.7188936352342559,0.02146238560362428
100,2,0.2,10.0,0.044748293672455475,0.010431390656470514,8.583892521877704,0.15828309809228194,0.5213053816599617,0.0008625635209439739,0.5660536753324171,0.010395667135890657,70593.33333333333,69822.66666666667,1978.3333333333333,-1.091689213742779,0.030798411374358823
100,2,0.2,20.0,0.0235753936576657,0.007834180446322454,4.363234855347077,0.06269358279429076,0.5403191540050708,0.006923367356287683,0.5638945476627365,0.0036662470887040854,72481.66666666667,71535.66666666667,1976.6666666666667,-1.305154431622075,0.027621084257891924
100,2,0.2,40.0,0.025278205997892655,0.015961220517287694,4.658716223169982,0.13701205746339098,0.5426002526655793,0.015921670990845724,0.567878458663472,0.0011229217518364107,76194.0,75109.0,2007.3333333333333,-1.423995957580244,0.009800750734955116
100,4,0.05,10.0,0.00450464766860631,0.01321158554928776,1.0978484959455317,0.035161961755767246,0.41031596666046727,0.009444247748240368,0.4148206143290736,0.00923862420471825,69429.33333333333,69257.33333333333,492.6666666666667,-0.2477320870554646,0.013183778790238347
100,4,0.05,20.0,0.013798016996588558,0.007415516377603646,3.437012376068909,0.06139571525175968,0.4014538060049138,0.0006786148397580891,0.4152518230015024,0.00738440011414387,71333.0,71109.33333333333,516.0,-0.3135366442829525,0.02837686171974113
100,4,0.05,40.0,0.009894067668938078,0.0011218428631234252,2.4461584270546983,0.006673286541138827,0.4044737069974265,0.0006247003913039896,0.4143677746663646,0.0009318158780819343,75040.66666666667,74753.33333333333,510.6666666666667,-0.3828830541731718,0.02897207823049813
100,4,0.1,10.0,0.014752389334413862,0.0029265029232584823,3.6668613053012806,0.02619610816033344,0.40231653466374456,0.0020481239911639007,0.4170689239981584,0.0020903606092392995,69818.66666666667,69450.33333333333,992.0,-0.5275548910613616,0.01288185288303795
100,4,0.1,20.0,0.013311159001508088,0.0026510613357692897,3.2859388827369616,0.021199082687997927,0.40509453999402467,0.0019661622568552593,0.41840569899553276,0.0017782947409607562,71724.66666666667,71276.33333333333,1023.0,-0.6250751371247336,0.016496406539614688
