n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate_mean,T_simulate_sem,T_simulate_count,T_setup_mean,T_setup_sem,T_total_mean,T_total_sem,n_connections_mean,n_connections_sem,n_spikes_mean,n_spikes_sem,spike_rate_mean,spike_rate_sem,spike_divergence_pct_mean,spike_divergence_pct_sem
50,1,0.2,40.0,static,0.450294571002208,0.006137617015769925,3,0.0022865603338383758,3.0477500589992174e-05,0.45394408066931646,0.006165925468781838,478.6666666666667,9.061518146045456,37686.0,18.35755975068582,37.686,0.018357559750685967,,
50,1,0.2,40.0,stdp,0.46115235366354074,0.0004951095172466737,3,0.0030275780057612187,5.4372004201790446e-05,0.46548106166301295,0.0004954103074618294,489.3333333333333,4.255715111601238,37434.333333333336,3.527668414752902,37.434333333333335,0.0035276684147530707,-0.6677534853977808,0.047435557691826905
50,2,0.05,10.0,static,0.34596560600524146,0.002848575393538865,3,0.002168004337969857,0.00031002242890373286,0.3501008683330535,0.0031399079425379474,124.0,9.865765724632494,34618.666666666664,8.41295297608323,34.61866666666666,0.008412952976081182,,
50,2,0.05,10.0,stdp,0.3511500500026159,0.006435622699647344,3,0.0025809989989890405,3.1229966200837025e-05,0.3557602410000982,0.006566862393882968,127.66666666666667,2.848001248439178,34582.666666666664,8.95048105473222,34.58266666666666,0.008950481054730865,-0.1039872311349075,0.01923011899924473
50,2,0.05,20.0,static,0.3466661103351119,0.0004808375279850682,3,0.0019501283386489376,2.296694395591043e-05,0.35072667800219887,0.0005889259670588791,118.33333333333333,3.3333333333333326,35571.666666666664,3.3333333333336364,35.571666666666665,0.0033333333333353346,,
50,2,0.05,20.0,stdp,0.3501566363362751,0.0011760784630772535,3,0.0026040179994500554,7.483841835068325e-06,0.35470529532661504,0.0012081156145534293,129.66666666666666,10.333333333333334,35530.333333333336,11.050389636167111,35.53033333333334,0.01105038963616949,-0.11619093931161184,0.038957179640129014
50,2,0.05,40.0,static,0.3506040803331416,0.007574854457198875,3,0.0018721939995884895,9.985721307643965e-06,0.3543924673382814,0.007595815803602886,127.33333333333333,3.7118429085533466,37444.666666666664,3.9299420408499404,37.44466666666667,0.003929942040850137,,
50,2,0.05,40.0,stdp,0.3493477476683135,0.0015434042034359983,3,0.0025881396722979844,1.3396878872066937e-05,0.3538047546656647,0.00151011336826492,119.0,2.6457513110645907,37354.666666666664,7.8386506775365,37.35466666666667,0.007838650677536778,-0.24035195178959387,0.024460903463464495
50,2,0.1,10.0,static,0.348790331670898,0.008343904520152746,3,0.0019658093369798735,6.818175597424467e-05,0.3526676256636468,0.00849311624723062,250.0,20.132891827388665,34727.666666666664,13.860415257528196,34.72766666666667,0.013860415257529436,,
50,2,0.1,10.0,stdp,0.3540150673312989,0.004772185645929502,3,0.00266885699723692,1.5206734456350496e-05,0.3585638296693408,0.004750245776395714,243.0,6.557438524302,34632.333333333336,4.910306620884815,34.63233333333333,0.004910306620885404,-0.27449297775130954,0.03172769773177209
