n_neurons,n_cores,conn_prob,firing_rate,learning_rule,T_simulate,T_simulate_sem,T_1core,speedup,speedup_sem,efficiency,efficiency_sem
50,8,0.2,10.0,static,0.4079169920053876,0.0016690382151260219,0.44246515566677164,1.0846941028162116,0.006449714362953383,0.13558676285202645,0.0008062142953691729
50,1,0.2,10.0,stdp,0.46645653366673895,0.008285375821145117,0.46645653366673895,1.0,0.025119791470201575,1.0,0.025119791470201575
50,2,0.2,10.0,stdp,0.3565989976680915,0.0005513043747271184,0.46645653366673895,1.3080702321572384,0.023322275901506116,0.6540351160786192,0.011661137950753058
50,4,0.2,10.0,stdp,0.30934052799420897,0.0007296924106657099,0.46645653366673895,1.507906308595527,0.027019148279804017,0.3769765771488818,0.006754787069951004
50,8,0.2,10.0,stdp,0.41831123166290735,0.00640047684457873,0.46645653366673895,1.1150944520720618,0.026142128525570393,0.13938680650900773,0.003267766065696299
50,1,0.2,20.0,static,0.4438889913338547,0.0006632722210003425,0.4438889913338547,1.0,0.0021131602468116195,1.0,0.0021131602468116195
50,2,0.2,20.0,static,0.3473675886634737,0.0013791494856091875,0.4438889913338547,1.277865309891908,0.0054209077656272,0.638932654945954,0.0027104538828136
50,4,0.2,20.0,static,0.30329553366270073,0.0008450412910270689,0.4438889913338547,1.4635526806916646,0.004627146323344042,0.36588817017291614,0.0011567865808360105
50,8,0.2,20.0,static,0.41047892366865807,0.002559715642168702,0.4438889913338547,1.0813928943454487,0.0069343748691681265,0.1351741117931811,0.0008667968586460158
50,1,0.2,20.0,stdp,0.465839227331647,0.0031166885685645586,0.465839227331647,1.0,0.00946176917861668,1.0,0.00946176917861668
50,2,0.2,20.0,stdp,0.3625947646651184,0.009578519385203915,0.465839227331647,1.284737874695687,0.035009969349113414,0.6423689373478435,0.017504984674556707
50,4,0.2,20.0,stdp,0.31613592766128323,0.004747634541884183,0.465839227331647,1.4735409251894964,0.02422592045865647,0.3683852312973741,0.006056480114664117
50,8,0.2,20.0,stdp,0.4174095536727691,0.001372634388005784,0.465839227331647,1.1160243536180408,0.008319922521264485,0.1395030442022551,0.0010399903151580606
50,1,0.2,40.0,static,0.450294571002208,0.006137617015769925,0.450294571002208,1.0,0.01927605124137983,1.0,0.01927605124137983
50,2,0.2,40.0,static,0.35542075500416104,0.0063408673709667695,0.450294571002208,1.266933809188876,0.028444423239771286,0.633466904594438,0.014222211619885643
50,4,0.2,40.0,static,0.3055279606633121,0.00033066876608640655,0.450294571002208,1.4738244251838764,0.020151789494671057,0.3684561062959691,0.005037947373667764
